,title,url,discounted_price,original_price,discount
0,Type-C to USB 3.0 Type A OTG Adapter ECACR-562051,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/type-to-usb-30-type-a-otg-adapter-p-178935.html,0.9,6.61,86.38
1,Universal 3.5mm IR Remote Control EPA-557485,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/universal-35mm-ir-remote-control-p-178098.html,1.16,4.76,75.63
2,1m Magnetic Detachable 8 Pin Plug to Data/Charge USB Cable f iPhone EPACB-511111-C35,https://web.archive.org/web/20160902073610/http:/www.tinydeal.com/1m-magnetic-detachable-8-pin-plug-to-datacharge-usb-cable-f-iphone-p-159968.html,4.43,17.77,75.07000000000001
3,Smart Swab Ear Wax Removal Swab Cleaner System w 16 Replacement Heads HHI-558029,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/smart-swab-ear-wax-removal-swab-cleaner-system-w-16-replacement-heads-p-177811.html,2.34,8.99,73.97
4,8 LEDs USB Night Light for Laptop Keyboard EDT-562699,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/8-leds-usb-night-light-for-laptop-keyboard-p-179185.html,1.7,6.44,73.6
5,1/2/5/10 pcs Teflon Gas Hob Oil Protector Liner Reusable Stove Clean Mat Pad HHI-549769,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/12510-pcs-teflon-gas-hob-oil-protector-liner-reusable-stove-clean-mat-pad-p-175005.html,1.16,4.38,73.52
6,37 inch Retractable Micro USB Charge/Sync Colorful Light Cable EPACB-468956,https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/37-inch-retractable-micro-usb-chargesync-colorful-light-cable-p-156152.html,1.82,6.05,69.92
7,SAMSUNG 128GB EVO Plus Micro SDXC UHS-3 Memory Card EFM-530211,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/samsung-128gb-evo-plus-micro-sdxc-uhs-3-memory-card-p-166045.html,27.79,88.59,68.63
8,Multi-functional Ultralight Folding Portable Credit Card Knives S-523865,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/multi-functional-ultralight-folding-portable-credit-card-knives-p-163478.html,0.95,2.88,67.01
9,Temperature Sensor Mini Digital LCD Thermometer Hygrometer EDT-561407,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/temperature-sensor-mini-digital-lcd-thermometer-hygrometer-p-178980.html,1.92,5.78,66.78
10,Mini 1200LM LED USB Rechargeable Tactical Flashlight HLT-521145-C3,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/mini-1200lm-led-usb-rechargeable-tactical-flashlight-p-162832.html,4.41,13.24,66.69
11,64GB USB 2.0 Flash Drive USB Pen Drive U Disk EFM-561923,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/64gb-usb-20-flash-drive-usb-pen-drive-u-disk-p-178875.html,6.42,19.08,66.35
12,2016 New 6 inch Fluorescence Transparent Waterproof Bag f Smartphone EPACB-511214-C4,https://web.archive.org/web/20160902073610/http:/www.tinydeal.com/2016-new-6-inch-fluorescence-transparent-waterproof-bag-f-smartphone-p-160272.html,3.41,10.11,66.27
13,"LENOVO VIBE X2 MTK6595M Octa-core 5.0"" IPS FHD 4G LTE Phone P07-VIX2",https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/lenovo-vibe-x2-mtk6595m-octa-core-50-ips-fhd-4g-lte-phone-p-145785.html,118.83,346.58,65.71000000000001
14,Magic Nano Emery Sponge Brush Eraser Cleaner Rust Cleaning Tool HKI-502638,https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/magic-nano-emery-sponge-brush-eraser-cleaner-rust-cleaning-tool-p-158101.html,1.18,3.28,64.02
15,Fashionable 3 in 1 Clip Fisheye Macro and Wide Angle Lens EPATH-406174,https://web.archive.org/web/20160902073610/http:/www.tinydeal.com/fashionable-3-in-1-clip-fisheye-macro-and-wide-angle-lens-p-152348.html,2.26,6.12,63.07000000000001
16,18g Super Strong Sealant Fix Metal Adhesive Sealing Glue Bond HHI-557389,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/18g-super-strong-sealant-fix-metal-adhesive-sealing-glue-bond-p-177571.html,1.4,3.76,62.77
17,Magnetic Therapy Tourmaline Thermal Self-Heating Neck Pad BBI-276863,https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/magnetic-therapy-tourmaline-thermal-self-heating-neck-pad-p-118329.html,1.43,3.81,62.470000000000006
18,360 WiFi 3 Generation Wireless Wifi Repeater EDT-561481,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/360-wifi-3-generation-wireless-wifi-repeater-p-178760.html,2.6,6.89,62.260000000000005
19,"LENOVO A916 5.5"" HD MTK6592 Octa-core 4G LTE Phone P05-A916",https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/lenovo-a916-55-hd-mtk6592-octa-core-4g-lte-phone-p-140350.html,73.1,192.36,62.0
20,"LENOVO K5 NOTE 5.5"" IPS FHD 64-bit Octa-core MTK6755 4G Phone P04-K5NOTE",https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/lenovo-k5-note-55-ips-fhd-64-bit-octa-core-mtk6755-4g-phone-p-160065.html,153.19,397.92,61.5
21,2 x 0.2MM Nano HD 2.5D Explosion-proof Film for Xiaomi Miband 2 E-517328,https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/2-x-02mm-nano-hd-25d-explosion-proof-film-for-xiaomi-miband-2-p-160557.html,1.43,3.67,61.040000000000006
22,4-in-1 Bluetooth 4.0 Anti-Loss Keychain Tracker Selfie Remote Button EPATH-393410-C17,https://web.archive.org/web/20160902073610/http:/www.tinydeal.com/4-in-1-bluetooth-40-anti-loss-keychain-tracker-selfie-remote-button-p-160164.html,2.29,5.86,60.919999999999995
23,"TECLAST X98 Plus II 9.7"" Win10 Android 5.1 Z8300 4GB 64GB Tablet ETC-516303",https://web.archive.org/web/20160902073610/http:/www.tinydeal.com/teclast-x98-plus-ii-97-win10-android-51-z8300-4gb-64gb-tablet-p-160086.html,190.84,488.31,60.919999999999995
24,ESTRELLA  32G USB2.0 High Speed Mini Flash Drive Waterproof USB EUD-555514,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/estrella-32g-usb20-high-speed-mini-flash-drive-waterproof-usb-p-176841.html,5.45,13.87,60.709999999999994
